duration_band,baseline_share,comparison_share,mix_seconds,within_seconds
01 | <=10s,0.16923000606056685,0.17538797296981598,0.040797878662107115,-0.02825129029709688
02 | 10-18s,0.17856974935997394,0.18759669651180405,0.0661253976209208,0.006567421913309466
03 | 18-30s,0.10404548228955707,0.10756683881440374,0.03374696236974529,0.006310724305963361
04 | 30-60s,0.14004956292744788,0.13944381183772545,-0.007770034413792046,0.025152103124763583
05 | >60s,0.40810519936245426,0.39000467986625076,-0.46805930871225127,-0.16337218659703437
