engagement_quartile,users,min_early_minutes,max_early_minutes,avg_early_minutes,avg_next_active_days,avg_next_minutes,returned_users,next_week_return_rate
1,240,0.0,269.52973333333335,124.40737076388884,5.629166666666666,212.41847493055553,236.0,0.9833333333333333
2,239,269.53953333333334,510.02106666666657,390.64128605299845,6.435146443514644,435.82871548117146,237.0,0.9916317991631799
3,239,510.35376666666673,862.6542333333333,675.1292652719665,6.615062761506276,643.3059656206414,239.0,1.0
4,239,862.7002166666665,3566.745833333333,1372.4022301255222,6.824267782426778,1200.681072384937,239.0,1.0
